No.,Title,Theme,Language,Compile Status,Author / Year / Publisher,Notes
22,Saved By The Blood,GOSPEL,ENGLISH,PUBLIC DOMAIN,"S. J. Henderson, 1902 (tune D.B. Towner)",
23,"Grace, Grace, God'S Grace",GOSPEL,ENGLISH,DUPLICATE,"Same hymn as #34 (""Grace Greater Than Our Sins"") -- Julia H. Johnston, 1910/11",duplicate of row 34
24,At Calvary,GOSPEL,ENGLISH,PUBLIC DOMAIN,"William R. Newell, 1895",
25,There Is Power In The Blood,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Lewis E. Jones, 1899",
26,Nothing But The Blood,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Robert Lowry, 1876",
27,Are You Washed In The Blood,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Elisha A. Hoffman, 1878",
28,Redeemed How I Loved To Proclaim It,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1882",
29,Since Jesus Came Into My Heart,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Rufus H. McDaniel, 1914",
30,Love Lifted Me,GOSPEL,ENGLISH,PUBLIC DOMAIN,"James Rowe, 1912",
31,I Am Resolved,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Palmer Hartsough, 1896",
32,The Old Rugged Cross,GOSPEL,ENGLISH,PUBLIC DOMAIN,"George Bennard, 1913",
33,At The Cross,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Isaac Watts, 1707; chorus Ralph E. Hudson, 1885",
34,Grace Greater Than Our Sins,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Julia H. Johnston, 1910/11",same hymn as row 23
35,This World Is Not My Home,HEAVEN,ENGLISH,MIXED — verify version,"1919 lyrics are PD, but the familiar tune arrangement (Carter Family 1931 / Brumley 1937) may still be under copyright depending on which arrangement is used",verify which arrangement your hymnal uses
36,When The Roll Is Called Up Yonder,HEAVEN,ENGLISH,PUBLIC DOMAIN,"James M. Black, 1893",
37,In The Sweet By And By,HEAVEN,ENGLISH,PUBLIC DOMAIN,"S. Fillmore Bennett / Joseph P. Webster, 1868",
38,Mansion Over The Hilltop,HEAVEN,ENGLISH,COPYRIGHTED — needs CCLI,"Ira Stanphill, 1949, New Spring Publishing",needs CCLI
39,Higher Ground,HEAVEN,ENGLISH,PUBLIC DOMAIN,"Johnson Oatman Jr., 1898",
40,When We All Get To Heaven,HEAVEN,ENGLISH,PUBLIC DOMAIN,"Eliza E. Hewitt, 1898",
41,"Draw Me Nearer, (I Am Thine, O Lord)",INVITATION,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1875",
42,Building Together,MINISTRY,ENGLISH,UNKNOWN — verify,Could not identify this exact title in standard hymn archives -- unlike every other song in this section,verify via CCLI SongSelect directly
43,To The Work,MINISTRY,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 19th c.",
44,In The Service Of The King,MINISTRY,ENGLISH,PUBLIC DOMAIN,"Bentley D. Ackley / Alfred H. Ackley, 1912",
45,We'll Work Til Jesus Comes,MINISTRY,ENGLISH,PUBLIC DOMAIN,"Elizabeth K. Mills, before 1829",
46,The Banner Of The Cross,MINISTRY,ENGLISH,PUBLIC DOMAIN,"D. W. Whittle, 1884",
47,The Fight Is On,MINISTRY,ENGLISH,PUBLIC DOMAIN,"Lelia N. Morris, 1905",
48,Onward Christian Soldiers,MINISTRY,ENGLISH,PUBLIC DOMAIN,"Sabine Baring-Gould, 1865; tune Arthur Sullivan, 1871",
49,Stand Up For Jesus,MINISTRY,ENGLISH,PUBLIC DOMAIN,"George Duffield Jr., 1858",
50,Our Best,OFFERING,ENGLISH,PUBLIC DOMAIN,"S. C. Kirk, 1912",
51,Count Your Blessings,OFFERING,ENGLISH,PUBLIC DOMAIN,"Johnson Oatman Jr., 1897",
52,Make Me A Channel Of Blessing,OFFERING,ENGLISH,PUBLIC DOMAIN,"Harper G. Smyth, 1903","confirm this is the song your church means, vs. similarly-named ""Make Me a Blessing"""
53,Tis So Sweet,PRAYER,ENGLISH,DUPLICATE,"Same song as #58 -- Louisa M. R. Stead, 1882",duplicate of row 58
54,In The Garden,PRAYER,ENGLISH,PUBLIC DOMAIN,"C. Austin Miles, 1912",
55,Leaning On The Everlasting Arms,PRAYER,ENGLISH,PUBLIC DOMAIN,"Elisha A. Hoffman, 1887",
56,Standing On The Promises,PRAYER,ENGLISH,PUBLIC DOMAIN,"R. Kelso Carter, 1886",
57,The Lily Of The Valley,PRAYER,ENGLISH,PUBLIC DOMAIN,"Charles W. Fry, 1881",
58,Tis So Sweet To Trust In Jesus,PRAYER,ENGLISH,PUBLIC DOMAIN,"Louisa M. R. Stead, 1882",same song as row 53
59,Trust And Obey,PRAYER,ENGLISH,PUBLIC DOMAIN,"John H. Sammis, 1887",
60,The Solid Rock,PRAYER,ENGLISH,PUBLIC DOMAIN,"Edward Mote, 1834",
61,Blessed Assurance,PRAYER,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1873",
62,I Know Whom I Have Believed,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Daniel W. Whittle, 1883",
63,What A Friend We Have In Jesus,PRAYER,ENGLISH,PUBLIC DOMAIN,"Joseph Scriven 1855, tune Charles C. Converse 1868",
64,Sweet Hour Of Prayer,PRAYER,ENGLISH,PUBLIC DOMAIN,"William Walford 1845, tune William B. Bradbury 1861",
65,Constantly Abiding,PRAYER,ENGLISH,PUBLIC DOMAIN,"Anne S. Murphy, 1908",
66,He Lives,RESURRECTION,ENGLISH,COPYRIGHTED — needs CCLI,"Alfred H. Ackley, 1933 (""I Serve a Risen Savior"") -- published after the 1931 cutoff",needs CCLI
67,Because He Lives,RESURRECTION,ENGLISH,COPYRIGHTED — needs CCLI,"Bill & Gloria Gaither, 1971, Gaither Music Company",needs CCLI
68,"There'S A Great Day Coming, A Great Day Coming (Are You Ready For The Judgement Day?)",SECOND COMING,ENGLISH,PUBLIC DOMAIN,"Will Lamartine Thompson, 1886",
69,Face To Face,SECOND COMING,ENGLISH,PUBLIC DOMAIN,"Carrie E. Breck / Grant Colfax Tullar, 1898",
70,A Soul Winner For Jesus,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,"J.W. Ferrill, early 20th c. (exact year unconfirmed but pre-1931 songbooks)",
71,Send The Light,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,"Charles H. Gabriel, 1890",
72,Jesus Saves,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,"Priscilla J. Owens / William J. Kirkpatrick, 1882",
73,Rescue The Perishing,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby / William H. Doane, 1869-70",
74,Bringing In The Sheaves,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,Knowles Shaw 1874 / George Minor 1880,
75,I Love To Tell The Story,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,Katherine Hankey 1866 / William G. Fischer 1869,
76,Bring Them In,SOUL-WINNING,ENGLISH,PUBLIC DOMAIN,"Alexcenah Thomas / William A. Ogden, 1885",
77,Dakilang Katapatan,ADORATION,TAGALOG,MIXED — verify version,"Tagalog version of ""Great Is Thy Faithfulness"" (Chisholm/Runyan 1923, itself now PD as of 2019) -- but the Tagalog translation is a separate derivative work with an unidentified translator/date, which could carry its own copyright",confirm translator/publisher (possibly OMF Literature) before treating as clear
78,Kailan Pa,MINISTRY,TAGALOG,UNKNOWN — verify,"Modern Filipino gospel song, likely via Papuri Singers/OMF Literature -- exact writer/year not confirmed","check directly with OMF Literature/Papuri Music, not CCLI"
79,All Hail The Power Of Jesus Name,ADORATION,ENGLISH,PUBLIC DOMAIN,"Edward Perronet 1779, tune ""Coronation"" Oliver Holden 1793",
80,All Hail The Power (Diadem Version),ADORATION,ENGLISH,PUBLIC DOMAIN,"Same text, tune ""Diadem"" James Ellor 1838",
81,O Worship The King,ADORATION,ENGLISH,PUBLIC DOMAIN,"Robert Grant 1833, tune ""Hanover"" attr. William Croft",
82,All Creatures Of Our God And King,ADORATION,ENGLISH,PUBLIC DOMAIN,"Francis of Assisi (13th c.), trans. William Draper published 1919",
83,Majesty,ADORATION,ENGLISH,COPYRIGHTED — needs CCLI,"Jack Hayford, 1981, Rocksmith Music",needs CCLI
84,"Joyful, Joyful We Adore Thee",ADORATION,ENGLISH,PUBLIC DOMAIN,"Henry van Dyke, 1907; Beethoven tune",
85,Be Thou My Vision,ADORATION,ENGLISH,PUBLIC DOMAIN,Ancient Irish; trans. Mary Byrne 1905/Eleanor Hull 1912,
86,Praise Him! Praise Him!,ADORATION,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby / Chester G. Allen, 1869",
87,I Will Praise Him,ADORATION,ENGLISH,PUBLIC DOMAIN,"Margaret Jenkins Harris, 1898",
88,I Will Sing Of My Redeemer,ADORATION,ENGLISH,PUBLIC DOMAIN,Philip P. Bliss 1876 / James McGranahan 1887,
89,As The Deer,ADORATION,ENGLISH,COPYRIGHTED — needs CCLI,"Martin Nystrom, 1984, Maranatha! Music",needs CCLI
90,Crown Him With Many Crowns,ADORATION,ENGLISH,PUBLIC DOMAIN,Matthew Bridges 1851 / Godfrey Thring 1874; tune Elvey 1868,
91,All Glory Laud And Honor,ADORATION,ENGLISH,PUBLIC DOMAIN,"Theodulph of Orleans (9th c.), trans. J.M. Neale 1854",
92,Jesus Is All The World To Me,ADORATION,ENGLISH,PUBLIC DOMAIN,"Will L. Thompson, 1904",
93,We Praise Thee O God,ADORATION,ENGLISH,PUBLIC DOMAIN,"William P. Mackay, 1863 (""Revive Us Again"")",
94,My Jesus I Loved Thee,ADORATION,ENGLISH,PUBLIC DOMAIN,William R. Featherston c.1862-64; tune A.J. Gordon 1876,
95,I Surrender All,BAPTISM,ENGLISH,PUBLIC DOMAIN,"Judson W. Van DeVenter / Winfield S. Weeden, 1896",
96,Welcome To The Family,BAPTISM,ENGLISH,COPYRIGHTED — needs CCLI,"Modern song (candidates: Kerner/Rettino ""Psalty"" version, or a Southern Gospel song recorded by The Booth Brothers) -- exact match unclear but both are modern/copyrighted",needs CCLI; confirm which version
97,The Bible Stands,BIBLE,ENGLISH,PUBLIC DOMAIN,"Haldor Lillenas, 1917",
98,Open My Eyes That I May See,BIBLE,ENGLISH,PUBLIC DOMAIN,"Clara H. Scott, 1895",
99,More About Jesus,BIBLE,ENGLISH,PUBLIC DOMAIN,"Eliza E. Hewitt / John R. Sweney, 1887",
100,Away In A Manger,CHRISTMAS,ENGLISH,PUBLIC DOMAIN,Anonymous verses 1885; v.3 John T. McFarland 1904,
101,It Is Well,COMFORT,ENGLISH,PUBLIC DOMAIN,Horatio Spafford 1873 / Philip Bliss 1876,
102,The Comforter Has Come,COMFORT,ENGLISH,PUBLIC DOMAIN,Frank Bottome 1890 / William J. Kirkpatrick,
103,He Abides,COMFORT,ENGLISH,PUBLIC DOMAIN,"Herbert Buffum, 1922",
104,Abide With Me,COMFORT,ENGLISH,PUBLIC DOMAIN,"Henry Francis Lyte 1847; tune ""Eventide"" W.H. Monk 1861",
105,Indescribable,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Laura Story, 2004 (recorded by Chris Tomlin)",needs CCLI
106,For The Cause Of Christ,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Modern, associated with West Coast Baptist College",needs CCLI
107,For What Earthly Reason,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Dottie Rambo era, ~1970s-80s CCM/Southern Gospel",needs CCLI
108,Were It Not For Grace,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Modern CCM, ~1980s (recorded by Larnelle Harris/Sandi Patty)",needs CCLI; confirm exact writer via SongSelect
109,He Loved Me With A Cross,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Joel Lindsey & Sue C. Smith, New Spring Publishing",needs CCLI
110,One Day When We All Get To Heaven,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"TITLE COLLISION: modern Matt Redman-associated worship song, NOT the 1898 PD hymn ""When We All Get to Heaven"" (Eliza Hewitt)",confirm which song your church actually sings
111,Bow The Knee,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,Confirmed on CCLI SongSelect (#2701725),needs CCLI
112,Draw Near To God,CONTEMPORARY HYMNS,ENGLISH,UNKNOWN — verify,Could not reliably identify this exact title/author,presumptively modern/copyrighted pending CCLI lookup
113,His Robes For Mine,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Chris Anderson & Greg Habegger, 2008, Church Works Media",needs CCLI
114,O The Deep Deep Love Of Jesus,CONTEMPORARY HYMNS,ENGLISH,MIXED — verify version,"Base hymn (Samuel Trevor Francis 1890) is PD, but some congregations use a modern rearrangement with an added refrain (Sovereign Grace Music, mid-2000s) that is separately copyrighted",confirm which version/arrangement your church uses
115,O Wondrous Love,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"TITLE COLLISION: Sovereign Grace Music song (2000s), NOT the 1811 PD folk hymn ""What Wondrous Love Is This""",confirm which song your church means; needs CCLI if the Sovereign Grace one
116,How Deep The Father’S Love For Us,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Stuart Townend, 1995, Thankyou Music",needs CCLI
117,Grace Alone,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Scott Wesley Brown & Jeff Nelson, Maranatha! Music",needs CCLI
118,In Christ Alone,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Keith Getty & Stuart Townend, 2001, Thankyou Music/Kingsway",needs CCLI
119,O How I Love Jesus,CONTEMPORARY HYMNS,ENGLISH,PUBLIC DOMAIN,"Frederick Whitfield, 1855",
120,Fairest Lord Jesus,CONTEMPORARY HYMNS,ENGLISH,PUBLIC DOMAIN,"German text 1677 (""Schonster Herr Jesu""); Silesian tune 1842; confirmed genuinely PD despite ""Contemporary Hymns"" filing",
121,Calvary Covers It All,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Ethel R. Taylor, 1932, renewed 1962, Word Music LLC -- protected through 2027",needs CCLI (just past the cutoff)
122,My Jesus Fair,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Chris Anderson & Greg Habegger, Integrity Music",needs CCLI
123,For The Sake Of His Name,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"David L. Ward, Church Works Media",needs CCLI
124,A Passion For Thee,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Joe Zichterman, 1994, The Wilds",needs CCLI
125,May The Lord Find Us Faithful,CONTEMPORARY HYMNS,ENGLISH,COPYRIGHTED — needs CCLI,"Jon Mohr, 1987",needs CCLI
126,Do Lord Oh Do Remember Me,FELLOWSHIP,ENGLISH,PUBLIC DOMAIN,"Traditional American folk spiritual, no known composer/copyright",
127,Brethren We Have Met To Worship,FELLOWSHIP,ENGLISH,PUBLIC DOMAIN,"George Atkins, c.1819",
128,Blest Be The Tie,FELLOWSHIP,ENGLISH,PUBLIC DOMAIN,"John Fawcett, 1782",
129,Heaven Came Down,GOSPEL,ENGLISH,COPYRIGHTED — needs CCLI,"John W. Peterson, 1961, John W. Peterson Music Co.",needs CCLI
130,New Name In Glory,GOSPEL,ENGLISH,PUBLIC DOMAIN,"C. Austin Miles, 1910",
131,Jesus Loves Me,GOSPEL,ENGLISH,PUBLIC DOMAIN,Anna Warner 1860; tune Wm. Bradbury 1862,
132,The Love Of God,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Frederick M. Lehman, 1917",
133,And Can It Be,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Charles Wesley, 1738",
134,Jesus Keep Me Near The Cross,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1869",
135,Jesus Paid It All,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Elvina Hall, 1865",
136,Beneath The Cross Of Jesus,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Elizabeth Clephane, 1868/1872",
137,He Died For Me,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Julia H. Johnston, 1899",title collision risk with unrelated modern songs of same name -- confirm your tune matches
138,The Power Of The Cross,GOSPEL,ENGLISH,COPYRIGHTED — needs CCLI,"Keith Getty & Stuart Townend, 2005",needs CCLI
139,When I Survey The Wondrous Cross,GOSPEL,ENGLISH,PUBLIC DOMAIN,"Isaac Watts, 1707",
140,Dwelling In Beulah Land,HEAVEN,ENGLISH,PUBLIC DOMAIN,"C. Austin Miles, 1911",
141,What A Day That Will Be,HEAVEN,ENGLISH,COPYRIGHTED — needs CCLI,"Jim Hill, 1955 -- still under copyright",needs CCLI
142,Sweet Beulah Land,HEAVEN,ENGLISH,COPYRIGHTED — needs CCLI,"Squire Parsons, 1979, Capitol CMG Paragon o/b/o Kingsmen Pub Co.",needs CCLI
143,On Jordan’s Stormy Bank (I Am Bound For The Promised Land),HEAVEN,ENGLISH,PUBLIC DOMAIN,"Samuel Stennett, 1787",
144,My Savior First of All (I Shall Know Him),HEAVEN,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1891",
145,Jesus Is Tenderly Calling,INVITATION,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1883",
146,Let Jesus Come Into Your Heart,INVITATION,ENGLISH,PUBLIC DOMAIN,"Lelia N. Morris, 1898",
147,Softly And Tenderly,INVITATION,ENGLISH,PUBLIC DOMAIN,"Will L. Thompson, 1880",
148,All The Way My Savior Leads Me,INVITATION,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1875",
149,"Nearer, My God To Thee",INVITATION,ENGLISH,PUBLIC DOMAIN,"Sarah Adams, 1841",
150,Wherever He Leads I’ll Go,INVITATION,ENGLISH,COPYRIGHTED — needs CCLI,"B.B. McKinney, 1936, renewed 1964, Broadman Press -- protected through 2031",needs CCLI
151,Living For Jesus,INVITATION,ENGLISH,PUBLIC DOMAIN,"Thomas Chisholm / C. Harold Lowden, 1917",
152,Take My Life And Let It Be,INVITATION,ENGLISH,PUBLIC DOMAIN,"Frances Havergal, 1874",
153,Fight The Good Fight (Loyalty To Christ),MINISTRY,ENGLISH,PUBLIC DOMAIN,"John S.B. Monsell, 1863, standard PD tunes","if paired with the ""Loyalty to Christ"" tune (row 173), see that row's caveat"
154,I Must Tell Jesus,PRAYER,ENGLISH,PUBLIC DOMAIN,"Elisha Hoffman, 1893",
155,Tell It To Jesus,PRAYER,ENGLISH,PUBLIC DOMAIN,"Edmund S. Lorenz / Jeremiah Rankin, 1870s",
156,Great Is Thy Faithfulness,ADORATION,ENGLISH,PUBLIC DOMAIN,"Chisholm/Runyan, 1923 -- copyright expired Jan 1, 2019 after its 95-year renewed term","now public domain as of 2019, despite Hope Publishing's older materials suggesting otherwise"
157,He Leadeth Me,PRAYER,ENGLISH,PUBLIC DOMAIN,"Joseph Gilmore, 1862",
158,Rock Of Ages,PRAYER,ENGLISH,PUBLIC DOMAIN,"Augustus Toplady, 1776",
159,I Need Thee Every Hour,PRAYER,ENGLISH,PUBLIC DOMAIN,"Annie S. Hawks, 1872",
160,Faith Is The Victory,PRAYER,ENGLISH,PUBLIC DOMAIN,"John H. Yates, 1891",
161,He Hideth My Soul,PRAYER,ENGLISH,PUBLIC DOMAIN,"Fanny Crosby, 1890",
162,Come Thou Fount Of Every Blessing,PRAYER,ENGLISH,PUBLIC DOMAIN,"Robert Robinson, 1758",
163,God Will Take Care Of You,PRAYER,ENGLISH,PUBLIC DOMAIN,"Civilla Martin, 1904",
164,Is Your All On The Altar,PRAYER,ENGLISH,PUBLIC DOMAIN,"Elisha Hoffman, 1900",
165,Day By Day,PRAYER,ENGLISH,PUBLIC DOMAIN,"Swedish, Lina Sandell 1865; English trans. Andrew L. Skoog, pre-1931",
166,No Not One,PRAYER,ENGLISH,PUBLIC DOMAIN,"Johnson Oatman Jr., 1895",
167,Christ Arose,RESURRECTION,ENGLISH,PUBLIC DOMAIN,"Robert Lowry, 1874",
168,Christ The Lord Is Risen Today,RESURRECTION,ENGLISH,PUBLIC DOMAIN,"Charles Wesley, 1739",
169,Napakaligaya,FELLOWSHIP,TAGALOG,UNKNOWN — verify,"Tagalog fellowship chorus, likely via Papuri Singers -- no reliable composer/date found",treat as presumptively copyrighted until confirmed
170,A Shelter In The Time of Storm,COMFORT,ENGLISH,PUBLIC DOMAIN,"Vernon J. Charlesworth, c.1880; tune Ira D. Sankey 1885",
171,"In My Heart, There Rings A Melody",ADORATION,ENGLISH,PUBLIC DOMAIN,"Elton M. Roth, 1924",
172,Victory in Jesus,ADORATION,ENGLISH,COPYRIGHTED — needs CCLI,"E.M. Bartlett, 1939, renewed 1967, now Albert E. Brumley & Sons -- protected through 2034",needs CCLI
173,Loyalty To Christ,ADORATION,ENGLISH,UNKNOWN — verify,"Cassel, 1893/94 -- but a possible 1921 renewal by E.O. Excell/Hope Publishing creates date ambiguity that couldn't be resolved",verify directly via CCLI SongSelect or US Copyright Office renewal records
174,I Am Redeemed,FELLOWSHIP,ENGLISH,MIXED — verify version,"If this is Fanny Crosby's ""I Am Redeemed, O Praise the Lord"" (c.1921) it's PD; if it's the modern Gaither-associated ""I Am Redeemed"" (Chris Blue/Gaither Homecoming) it needs CCLI",confirm which song matches your lyrics/tune
175,I Am A Christian,FELLOWSHIP,ENGLISH,UNKNOWN — verify,"Could not confirm which song this refers to (a modern CCM song by Newsong exists, but also possible older gospel versions)",needs direct confirmation
176,How Did You Feel When You Came Out The Wilderness,FELLOWSHIP,ENGLISH,PUBLIC DOMAIN,"Traditional African American spiritual, anonymous/folk origin",
177,Give Oil In My Lamp,FELLOWSHIP,ENGLISH,UNKNOWN — verify,"Likely public domain (early-20th-c. African American gospel tradition, possibly linked to Thoro Harris) but exact origin/date unconfirmed",some published arrangements may carry their own copyright
178,I Love The Thrill,FELLOWSHIP,ENGLISH,UNKNOWN — verify,"Likely copyrighted -- associated with the Lanny Wolfe Trio (mid-late 20th c. Southern Gospel), exact year/holder unconfirmed",recommend confirming via CCLI SongSelect
